Variable,Description
submcc_pre_care_ind, Binary indicator for each of the MCC categories present in the reference table
rx_gpi2_77_ind, Binary indicator for prescriptions broken out by GPI2 Category
submcc_mus_inf_ind, Binary indicator for each of the MCC categories present in the reference table
submcc_vco_vac_ind, Binary indicator for each of the MCC categories present in the reference table
submcc_sns_chst_ind, Binary indicator for each of the MCC categories present in the reference table
submcc_rsk_glu_ind, Binary indicator for each of the MCC categories present in the reference table
submcc_can_brst_ind, Binary indicator for each of the MCC categories present in the reference table
submcc_skn_inf_ind, Binary indicator for each of the MCC categories present in the reference table
submcc_bld_anem_ind, Binary indicator for each of the MCC categories present in the reference table
betos_o1g_ind, Binary indicator for each of the BETOS codes
submcc_ano_dig_ind, Binary indicator for each of the MCC categories present in the reference table
submcc_mus_atrp_ind, Binary indicator for each of the MCC categories present in the reference table
rx_gpi2_37_ind, Binary indicator for prescriptions broken out by GPI2 Category
submcc_men_depr_ind, Binary indicator for each of the MCC categories present in the reference table
rx_gpi2_80_ind, Binary indicator for prescriptions broken out by GPI2 Category
submcc_hdz_valv_ind, Binary indicator for each of the MCC categories present in the reference table
rx_gpi2_68_ind, Binary indicator for prescriptions broken out by GPI2 Category
submcc_pre_mul_ind, Binary indicator for each of the MCC categories present in the reference table
submcc_cad_ptca_ind, Binary indicator for each of the MCC categories present in the reference table
submcc_dig_p_b_ind, Binary indicator for each of the MCC categories present in the reference table
rx_gpi2_98_ind, Binary indicator for prescriptions broken out by GPI2 Category
rx_gpi2_20_ind, Binary indicator for prescriptions broken out by GPI2 Category
rx_gpi2_07_ind, Binary indicator for prescriptions broken out by GPI2 Category
submcc_ner_othr_ind, Binary indicator for each of the MCC categories present in the reference table
submcc_rar_ra_ind, Binary indicator for each of the MCC categories present in the reference table
submcc_inf_othr_ind, Binary indicator for each of the MCC categories present in the reference table
submcc_dig_liv_ind, Binary indicator for each of the MCC categories present in the reference table
submcc_gus_kub_ind, Binary indicator for each of the MCC categories present in the reference table
submcc_brn_acc_ind, Binary indicator for each of the MCC categories present in the reference table
submcc_dia_othr_ind, Binary indicator for each of the MCC categories present in the reference table
submcc_cer_hem_ind, Binary indicator for each of the MCC categories present in the reference table
submcc_ben_othr_ind, Binary indicator for each of the MCC categories present in the reference table
submcc_inj_drug_ind, Binary indicator for each of the MCC categories present in the reference table
submcc_rsk_fh_ho_ind, Binary indicator for each of the MCC categories present in the reference table
betos_y2_ind, Binary indicator for each of the BETOS codes
rx_gpi2_52_ind, Binary indicator for prescriptions broken out by GPI2 Category
submcc_inf_myco_ind, Binary indicator for each of the MCC categories present in the reference table
submcc_rar_par_ind, Binary indicator for each of the MCC categories present in the reference table
submcc_rsk_an_ind, Binary indicator for each of the MCC categories present in the reference table
submcc_rar_hem_ind, Binary indicator for each of the MCC categories present in the reference table
rx_gpi2_48_ind, Binary indicator for prescriptions broken out by GPI2 Category
betos_m1b_ind, Binary indicator for each of the BETOS codes
rx_gpi2_57_ind, Binary indicator for prescriptions broken out by GPI2 Category
rx_gpi2_09_ind, Binary indicator for prescriptions broken out by GPI2 Category
rx_gpi2_55_ind, Binary indicator for prescriptions broken out by GPI2 Category
submcc_sor_eye_ind, Binary indicator for each of the MCC categories present in the reference table
submcc_hiv_kapo_ind, Binary indicator for each of the MCC categories present in the reference table
submcc_cad_mi_ind, Binary indicator for each of the MCC categories present in the reference table
rx_gpi2_73_ind, Binary indicator for prescriptions broken out by GPI2 Category
rx_gpi2_15_ind, Binary indicator for prescriptions broken out by GPI2 Category
rx_gpi2_70_ind, Binary indicator for prescriptions broken out by GPI2 Category
rx_gpi2_88_ind, Binary indicator for prescriptions broken out by GPI2 Category
submcc_res_alg_ind, Binary indicator for each of the MCC categories present in the reference table
submcc_can_lymp_ind, Binary indicator for each of the MCC categories present in the reference table
submcc_mus_arth_ind, Binary indicator for each of the MCC categories present in the reference table
submcc_rar_scl_ind, Binary indicator for each of the MCC categories present in the reference table
rx_gpi2_74_ind, Binary indicator for prescriptions broken out by GPI2 Category
rx_gpi2_89_ind, Binary indicator for prescriptions broken out by GPI2 Category
rx_gpi2_96_ind, Binary indicator for prescriptions broken out by GPI2 Category
submcc_rsk_obe_ind, Binary indicator for each of the MCC categories present in the reference table
rx_gpi2_22_ind, Binary indicator for prescriptions broken out by GPI2 Category
submcc_rsk_synx_ind, Binary indicator for each of the MCC categories present in the reference table
submcc_rsk_coag_ind, Binary indicator for each of the MCC categories present in the reference table
submcc_rsk_othr_ind, Binary indicator for each of the MCC categories present in the reference table
submcc_rsk_chol_ind, Binary indicator for each of the MCC categories present in the reference table
hedis_dia_hba1c_test_myind,HEDIS - Diabetic HbAc1 screening 
hedis_dia_ldc_c_control_myind,HEDIS - Diabetic LDL Cholesterol in control 
hedis_dia_ldc_c_screen_myind,HEDIS - Diabetic LDL Cholesterol screening
hedis_dia_ma_nephr_myind,HEDIS - Diabetic nephopathy screening
hedis_dia_eye_myind,HEDIS - Diabetic renital eye exam
hedis_dia_hba1c_ge9_myind,HEDIS - Diabetic HbA1c in control
cons_n2029_y_myind,HEDIS - Diabetic LDL Cholesterol screening
cons_n65p_y_myind,HEDIS - Diabetic nephopathy screening
cons_online_buyer_myind,KBM-HUM Online_buyer
cons_ret_y_myind,KBM-Flags-Retired Code-YES
cons_retail_buyer_myind,KBM-Flags - Retail Buyer-YES
cons_veteran_y_myind,KBM-Flags-Image Veteran-YES
